,nEff,nResp,step,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,ourNumEdges,ourNumZeroEdges,ourNumPosEdges,ourNumSigMoreEdges,DiffEdges,dfgNumEdges80,dfgNumEdges100,sdE1,sdE2,sdE3,sdE4,sda
49,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.6,0.19,0.02,0.19,8,0,8,4,8,5.0,10.0,0.34063665882187916,0.10392304845413264,0.011547005383792516,0.4561067126598043,0.2281
50,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.61,0.2,0.18,0.01,10,1,9,5,10,5.0,10.0,0.34641016151377546,0.10969655114602891,0.10392304845413264,0.560029761113937,0.28
51,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.6,0.38,0.02,0.0,9,1,8,4,9,4.0,9.0,0.34063665882187916,0.21361959960016155,0.011547005383792516,0.5658032638058332,0.2829
52,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.78,0.01,0.0,0.21,NA,NA,NA,NA,NA,,,0.4445597072760119,0.0,0.0,0.44455970727601185,0.2223
53,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.79,0.02,0.19,0.0,8,2,6,4,8,4.0,9.0,0.45033320996790815,0.005773502691896258,0.1096965511460289,0.5658032638058332,0.2829
54,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.79,0.19,0.01,0.01,8,0,8,4,8,4.0,10.0,0.45033320996790815,0.10392304845413264,0.005773502691896258,0.560029761113937,0.28
55,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.98,0.0,0.01,0.01,6,0,6,3,6,3.0,9.0,0.560029761113937,0.005773502691896258,0.005773502691896258,0.560029761113937,0.2829
56,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.01,0.01,0.0,0.98,2,0,2,1,2,4.0,10.0,0.0,0.0,0.09814954576223639,0.09814954576223633,0.0491
57,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.01,0.01,0.17,0.81,2,1,1,1,2,5.0,11.0,0.0,0.0,0.09814954576223639,0.09814954576223633,0.0491
58,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.0,0.02,0.38,0.6,4,1,3,2,4,5.0,10.0,0.005773502691896258,0.005773502691896258,0.1903505538035898,0.1903505538035898,0.0981
59,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.01,0.01,0.6,0.38,4,1,3,2,4,5.0,11.0,0.0,0.0,0.3092463958291726,0.3092463958291726,0.1546
60,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.01,0.03,0.78,0.18,6,1,5,3,6,6.0,11.0,0.0,0.011547005383792514,0.41016256939576207,0.42146569650842686,0.2108
61,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.01,0.0,0.98,0.01,6,1,5,3,6,4.0,10.0,0.0,0.005773502691896258,0.5236729259120938,0.5179768334587947,0.2619
62,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.01,0.18,0.01,0.8,4,0,4,3,4,5.0,11.0,0.0,0.09814954576223638,0.09539392014169458,0.10115993936995675,0.0737
63,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.01,0.21,0.2,0.58,6,1,5,3,6,6.0,11.0,0.0,0.11547005383792515,0.10785793124908959,0.2007485989988473,0.106
64,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.03,0.2,0.4,0.37,6,1,5,3,6,7.0,11.0,0.011547005383792514,0.10969655114602891,0.2007485989988473,0.3148015247739439,0.1592
